Make,Colour,Odometer,Doors,Price
Honda,Blue,106067.0,5.0,"$7,300"
Nissan,Red,216483.0,4.0,"$3,000"
Nissan,Red,45287.0,4.0,"$11,500"
Nissan,Blue,57417.0,4.0,"$11,400"
Toyota,White,158246.0,4.0,"$4,700"
Toyota,White,148095.0,5.0,"$9,900"
Toyota,Red,140747.0,3.0,"$13,200"
Toyota,White,85239.0,3.0,"$7,500"
BMW,Black,27640.0,5.0,"$22,600"
Honda,Black,88299.0,5.0,"$11,600"
BMW,Black,76621.0,5.0,"$31,000"
Toyota,Green,98676.0,3.0,"$13,200"
Nissan,White,97179.0,4.0,"$14,600"
Honda,Silver,122032.0,4.0,"$5,500"
Toyota,Black,42313.0,4.0,"$14,600"
Honda,Black,81273.0,4.0,"$12,300"
Toyota,Black,122608.0,5.0,"$9,700"
Nissan,Black,64579.0,5.0,"$6,000"
Toyota,Red,74781.0,3.0,"$13,000"
Toyota,Green,109132.0,5.0,"$5,700"
Nissan,White,121698.0,5.0,"$8,100"
Nissan,Blue,62503.0,4.0,"$9,500"
BMW,Grey,,5.0,"$18,400"
Nissan,White,132036.0,5.0,"$8,100"
Nissan,Black,172650.0,5.0,"$7,600"
Honda,Blue,25871.0,4.0,"$9,700"
Nissan,Red,140841.0,4.0,"$6,700"
Honda,Red,116722.0,5.0,"$20,400"
Toyota,Green,127686.0,4.0,"$11,700"
Nissan,Blue,165424.0,5.0,"$6,700"
Nissan,White,94344.0,5.0,"$10,300"
Nissan,Red,68721.0,4.0,"$8,100"
Honda,Red,68702.0,5.0,"$11,400"
BMW,Black,162215.0,4.0,"$8,700"
Toyota,White,133685.0,4.0,"$3,400"
Honda,Blue,69347.0,4.0,"$13,800"
Honda,Blue,95085.0,5.0,"$6,700"
Toyota,Black,60804.0,4.0,"$14,300"
Nissan,Black,71099.0,4.0,"$9,500"
Honda,Red,94187.0,4.0,"$7,300"
Nissan,White,232060.0,5.0,"$3,500"
Toyota,Blue,3000.0,5.0,"$15,900"
Toyota,White,63587.0,4.0,"$14,500"
Toyota,Green,56788.0,4.0,"$11,100"
Toyota,Blue,124259.0,4.0,"$11,700"
Nissan,Black,44783.0,4.0,"$9,300"
BMW,Grey,45052.0,4.0,"$21,900"
Nissan,Red,210865.0,5.0,"$3,800"
BMW,Grey,12042.0,4.0,"$33,700"
Toyota,Green,208352.0,4.0,"$7,600"
BMW,White,3000.0,4.0,"$25,000"
Nissan,Blue,182947.0,5.0,"$2,500"
Nissan,Blue,136853.0,5.0,"$8,300"
BMW,Blue,26068.0,5.0,"$27,300"
Nissan,Silver,3000.0,4.0,"$9,300"
Nissan,Silver,97856.0,4.0,"$4,300"
Honda,Red,170355.0,4.0,"$2,500"
Toyota,,75117.0,4.0,"$11,500"
Toyota,White,172946.0,3.0,"$2,500"
Honda,Silver,147831.0,4.0,"$6,900"
Nissan,Black,57035.0,5.0,"$11,500"
Honda,Silver,101554.0,4.0,"$7,300"
Nissan,White,115908.0,4.0,"$5,700"
Nissan,Red,118356.0,5.0,"$8,800"
Toyota,White,180472.0,4.0,"$2,500"
BMW,Grey,154587.0,4.0,"$8,300"
BMW,Black,58625.0,4.0,"$29,600"
Toyota,White,112611.0,4.0,"$7,500"
Nissan,Silver,100345.0,4.0,"$6,200"
,Red,78995.0,4.0,"$10,400"
Honda,White,109136.0,4.0,"$6,600"
Nissan,Silver,162377.0,4.0,"$5,300"
Honda,Black,131017.0,5.0,"$10,400"
Toyota,Black,54892.0,3.0,"$9,700"
Toyota,Blue,136859.0,4.0,"$10,300"
Toyota,Black,96913.0,4.0,"$10,800"
Toyota,White,164438.0,3.0,"$4,300"
Honda,White,118260.0,5.0,"$8,300"
BMW,Black,55857.0,4.0,"$33,000"
Toyota,Red,140921.0,4.0,"$10,600"
BMW,Blue,119830.0,4.0,"$22,800"
Toyota,Black,133461.0,4.0,"$7,700"
Nissan,Silver,130153.0,5.0,"$6,400"
BMW,Blue,69073.0,5.0,"$29,600"
Toyota,White,55452.0,4.0,"$18,900"
BMW,Black,22747.0,3.0,"$18,600"
Toyota,Black,158221.0,4.0,"$10,100"
BMW,Blue,91213.0,5.0,"$28,700"
Honda,Blue,91412.0,4.0,"$6,800"
Nissan,Red,116245.0,4.0,"$4,700"
BMW,Grey,105955.0,5.0,"$23,000"
Nissan,Black,65772.0,4.0,"$8,400"
Nissan,Silver,135124.0,4.0,"$4,300"
Toyota,Green,55244.0,4.0,"$12,300"
Nissan,Silver,125718.0,4.0,"$4,900"
Toyota,Black,73506.0,4.0,"$12,300"
Honda,Black,22491.0,4.0,"$8,700"
Honda,Silver,57514.0,5.0,"$11,200"
Nissan,Silver,129410.0,4.0,"$9,900"
Nissan,Silver,160028.0,4.0,"$4,200"
Honda,Blue,91087.0,5.0,"$7,200"
Honda,White,91111.0,4.0,"$8,700"
Toyota,White,114781.0,4.0,"$6,800"
Honda,White,116928.0,4.0,"$12,900"
Toyota,Red,92344.0,4.0,"$11,600"
Toyota,Green,133887.0,5.0,"$7,200"
Toyota,Red,109652.0,4.0,"$9,500"
BMW,Grey,,3.0,"$19,100"
Honda,Red,93176.0,4.0,"$10,800"
Toyota,Black,173459.0,4.0,"$9,900"
Nissan,Black,232578.0,4.0,"$2,500"
Toyota,Blue,143360.0,4.0,"$8,600"
Toyota,Blue,211869.0,4.0,"$2,500"
Honda,Black,51693.0,5.0,"$10,500"
BMW,Grey,3000.0,4.0,"$24,700"
Honda,Red,55561.0,4.0,"$11,500"
Nissan,Red,131138.0,5.0,"$11,400"
BMW,Black,104917.0,5.0,"$20,500"
Toyota,Black,51282.0,3.0,"$13,300"
Honda,Silver,28628.0,4.0,"$18,000"
Honda,Black,148613.0,4.0,"$5,600"
Honda,Silver,9769.0,4.0,"$17,500"
BMW,Silver,60189.0,5.0,"$34,300"
Toyota,Red,15089.0,4.0,"$12,000"
Nissan,Blue,112293.0,4.0,"$6,900"
Toyota,Black,74596.0,5.0,"$14,200"
Toyota,Green,42483.0,5.0,"$12,300"
Toyota,Green,104255.0,5.0,"$11,500"
BMW,Silver,94887.0,3.0,"$15,700"
Toyota,Blue,18226.0,4.0,"$18,000"
BMW,Blue,78957.0,5.0,"$20,400"
Honda,Blue,166455.0,4.0,"$6,300"
Nissan,Silver,178040.0,4.0,"$4,000"
Honda,Red,190915.0,4.0,"$9,900"
Toyota,Green,85053.0,3.0,"$12,300"
Nissan,Red,148141.0,5.0,"$9,200"
Toyota,Blue,47823.0,4.0,"$14,700"
Nissan,Blue,171271.0,4.0,"$2,500"
Honda,Red,35203.0,5.0,"$6,600"
Toyota,White,83990.0,4.0,"$13,100"
Nissan,Black,196131.0,4.0,"$3,300"
Honda,Blue,170173.0,4.0,"$2,500"
BMW,Grey,3000.0,5.0,"$28,400"
Honda,Blue,110435.0,4.0,"$8,500"
Nissan,Silver,3000.0,5.0,"$12,500"
Honda,Silver,29385.0,4.0,"$14,500"
Honda,White,109596.0,4.0,"$5,800"
Nissan,White,83223.0,5.0,"$6,100"
Toyota,Green,94740.0,4.0,"$12,700"
Toyota,Black,46742.0,4.0,"$14,400"
Honda,Silver,66547.0,5.0,"$9,000"
Toyota,Green,92434.0,5.0,"$7,100"
Nissan,Red,80995.0,5.0,"$5,700"
Toyota,Red,200165.0,4.0,"$5,400"
Nissan,Red,72815.0,4.0,"$9,100"
Nissan,Blue,105709.0,4.0,"$6,500"
Nissan,Blue,146393.0,4.0,"$7,100"
Nissan,Blue,82291.0,4.0,"$6,700"
Toyota,Green,83697.0,4.0,"$2,800"
Nissan,Black,27149.0,5.0,"$15,300"
Nissan,Silver,204118.0,4.0,"$2,500"
BMW,White,89215.0,5.0,"$26,800"
BMW,Black,194312.0,5.0,"$27,300"
Nissan,Silver,104836.0,5.0,"$5,400"
Toyota,,14464.0,4.0,"$14,100"
Toyota,Black,58669.0,3.0,"$6,800"
,Red,64378.0,4.0,"$8,200"
Honda,Silver,172982.0,4.0,"$8,400"
Toyota,Black,97585.0,4.0,"$15,100"
BMW,Silver,68249.0,5.0,"$20,200"
Nissan,Blue,197294.0,4.0,"$4,200"
Honda,Silver,42212.0,4.0,"$11,300"
Toyota,Black,52467.0,3.0,"$7,200"
Nissan,Black,163865.0,4.0,"$9,600"
Nissan,Black,33680.0,4.0,"$12,200"
Toyota,White,64166.0,4.0,"$10,200"
Nissan,Black,78825.0,4.0,"$6,300"
Nissan,Silver,114717.0,4.0,"$4,600"
Nissan,Blue,127145.0,4.0,"$5,900"
Honda,Blue,80530.0,4.0,"$7,200"
Toyota,Green,,5.0,"$14,000"
Toyota,Black,124047.0,4.0,"$6,000"
Nissan,Blue,117562.0,4.0,"$8,500"
Nissan,Blue,18513.0,4.0,"$12,600"
Honda,Silver,60194.0,4.0,"$12,700"
Nissan,Silver,69257.0,4.0,"$4,200"
Toyota,Blue,13367.0,4.0,"$14,300"
Honda,Silver,104466.0,4.0,"$6,200"
Honda,Silver,122652.0,4.0,"$3,100"
Nissan,Silver,108299.0,4.0,
BMW,Black,37622.0,4.0,"$27,000"
Toyota,Red,53258.0,3.0,"$10,000"
Honda,Black,140302.0,4.0,"$5,700"
Toyota,Red,141455.0,5.0,"$5,100"
Honda,Blue,117430.0,5.0,"$13,300"
Nissan,Black,3000.0,5.0,"$10,800"
BMW,Grey,89237.0,5.0,"$23,400"
Toyota,Blue,117299.0,4.0,"$7,300"
Honda,,96156.0,5.0,
Nissan,Silver,177395.0,4.0,"$4,500"
Toyota,White,115555.0,5.0,"$8,800"
Honda,Red,68594.0,5.0,"$9,800"
Toyota,White,118511.0,4.0,"$7,900"
Toyota,Green,113068.0,4.0,"$15,400"
Toyota,Black,143298.0,3.0,"$6,300"
Nissan,Blue,179267.0,4.0,"$2,600"
BMW,Blue,3000.0,5.0,"$22,300"
Honda,Blue,3000.0,4.0,"$12,600"
Toyota,Black,98957.0,5.0,"$16,400"
Honda,Red,107692.0,5.0,"$8,600"
Nissan,White,158446.0,4.0,"$2,500"
Honda,White,103309.0,4.0,"$11,300"
Honda,Silver,21027.0,5.0,"$17,000"
Nissan,White,130955.0,4.0,"$4,900"
Toyota,Black,130904.0,4.0,"$16,100"
Toyota,Red,107457.0,3.0,"$9,500"
Honda,Silver,,4.0,"$8,000"
Honda,Red,131856.0,5.0,"$5,600"
Toyota,Blue,101721.0,3.0,"$7,500"
Honda,Silver,114991.0,4.0,"$9,400"
Toyota,Black,151952.0,4.0,"$6,200"
Honda,Red,79046.0,4.0,"$7,000"
Toyota,Blue,74896.0,3.0,"$11,500"
Honda,Black,128335.0,4.0,"$5,200"
Toyota,Blue,143219.0,4.0,"$12,400"
BMW,Blue,82364.0,4.0,"$36,600"
Nissan,Blue,68667.0,5.0,"$6,300"
BMW,Silver,3000.0,5.0,"$38,600"
Toyota,Red,132027.0,3.0,"$7,400"
Honda,White,105438.0,4.0,"$5,500"
Nissan,Blue,248962.0,4.0,"$2,500"
Honda,Blue,97250.0,5.0,"$12,100"
Toyota,Blue,123012.0,4.0,"$9,700"
Honda,Red,54057.0,4.0,"$12,500"
Toyota,Green,195865.0,5.0,"$9,900"
Nissan,Red,201218.0,4.0,"$2,500"
Toyota,Green,46540.0,3.0,"$10,600"
BMW,White,67340.0,3.0,"$31,300"
Nissan,White,17221.0,5.0,"$16,000"
Nissan,Black,103151.0,5.0,"$7,000"
Toyota,Black,45370.0,4.0,"$7,600"
Toyota,White,140804.0,4.0,"$8,400"
Nissan,Silver,39762.0,4.0,"$6,900"
BMW,Silver,50897.0,4.0,"$36,800"
Toyota,Black,84501.0,4.0,"$6,200"
Nissan,White,98238.0,4.0,"$6,800"
Honda,Silver,3000.0,4.0,"$13,500"
Nissan,Blue,99067.0,4.0,"$9,200"
Toyota,Red,194145.0,3.0,"$8,200"
Nissan,Red,,5.0,"$5,200"
Nissan,Black,256108.0,4.0,"$2,500"
Honda,Red,92668.0,4.0,"$9,200"
Nissan,White,123092.0,4.0,"$5,900"
Honda,White,64464.0,5.0,"$9,800"
BMW,Blue,63624.0,5.0,"$22,400"
Honda,Red,57783.0,4.0,"$11,300"
,Silver,79761.0,5.0,"$15,300"
Toyota,White,3000.0,4.0,"$18,200"
Toyota,Blue,162796.0,4.0,"$2,500"
Toyota,Blue,80180.0,3.0,"$8,900"
Toyota,Green,24809.0,4.0,"$10,400"
Honda,Silver,38692.0,4.0,"$17,300"
Honda,Silver,136912.0,4.0,"$11,200"
Honda,White,126640.0,4.0,"$4,500"
BMW,White,42970.0,4.0,"$29,500"
BMW,,13670.0,5.0,"$33,200"
Honda,Red,80464.0,5.0,"$9,400"
Toyota,White,134969.0,5.0,"$10,600"
Nissan,White,91785.0,4.0,"$10,800"
Honda,Black,40108.0,4.0,"$14,000"
Nissan,Blue,145213.0,5.0,"$5,100"
Toyota,Red,114958.0,4.0,"$5,200"
Nissan,Silver,163745.0,4.0,"$4,000"
Toyota,White,70818.0,,"$15,500"
Toyota,White,61374.0,3.0,"$6,500"
Nissan,Black,24828.0,4.0,"$12,700"
Honda,Silver,30539.0,4.0,"$17,700"
Honda,Red,,4.0,"$18,600"
Toyota,Black,108972.0,4.0,"$9,600"
,White,42113.0,5.0,"$29,600"
Nissan,Red,109892.0,4.0,"$9,700"
BMW,Silver,69797.0,4.0,"$26,000"
Toyota,Black,79092.0,3.0,"$10,200"
Toyota,Green,114005.0,4.0,"$3,300"
Nissan,Black,36501.0,4.0,"$12,500"
Honda,Blue,100201.0,4.0,"$8,500"
Toyota,Red,98958.0,3.0,"$10,200"
Nissan,White,81773.0,4.0,"$6,200"
Honda,Red,101400.0,4.0,"$5,900"
Honda,White,111596.0,5.0,"$4,100"
Toyota,Blue,151516.0,3.0,"$8,200"
Nissan,White,126337.0,4.0,"$8,700"
Nissan,White,205266.0,4.0,"$5,100"
Honda,Black,3638.0,5.0,"$10,700"
Toyota,Black,65509.0,5.0,"$12,700"
Toyota,Blue,124918.0,3.0,"$5,700"
Nissan,Black,122458.0,4.0,"$4,600"
Toyota,White,66201.0,4.0,"$7,200"
Honda,Red,47684.0,4.0,"$7,400"
BMW,Black,24013.0,5.0,"$34,900"
Toyota,Blue,48631.0,5.0,"$21,600"
Toyota,Black,123652.0,5.0,"$10,500"
Honda,Blue,50798.0,5.0,"$14,200"
Toyota,Black,68066.0,4.0,"$12,200"
Toyota,Blue,231124.0,5.0,"$4,300"
Toyota,Green,157762.0,5.0,"$5,100"
Nissan,Black,110040.0,4.0,"$11,700"
Toyota,Black,65397.0,4.0,
Nissan,Silver,151634.0,5.0,"$4,300"
Nissan,Silver,147414.0,4.0,"$7,800"
Toyota,Red,130334.0,4.0,"$3,500"
Toyota,White,60188.0,4.0,"$11,200"
Toyota,Green,94129.0,3.0,"$10,800"
Toyota,Green,107240.0,5.0,"$5,500"
Toyota,Red,117770.0,4.0,"$11,100"
Honda,White,118869.0,4.0,"$11,500"
Toyota,Green,141363.0,4.0,"$8,900"
BMW,Grey,62053.0,4.0,"$14,500"
,White,112621.0,4.0,"$9,100"
Toyota,Blue,112122.0,4.0,"$5,400"
Honda,Red,40109.0,4.0,"$14,900"
Toyota,Green,95943.0,3.0,"$10,900"
Toyota,Red,99472.0,5.0,"$10,800"
Honda,Silver,137037.0,5.0,"$6,600"
Toyota,Black,102998.0,5.0,"$9,400"
Toyota,Blue,75406.0,4.0,"$10,200"
BMW,White,74329.0,3.0,"$20,800"
Honda,Red,,4.0,"$3,800"
Nissan,White,101535.0,5.0,"$6,900"
Toyota,White,173242.0,4.0,"$7,300"
Honda,Black,141528.0,4.0,"$2,900"
Honda,Red,104818.0,4.0,"$11,400"
Nissan,Red,116607.0,4.0,"$9,200"
Toyota,Green,71101.0,4.0,"$15,300"
Nissan,Black,240738.0,4.0,"$2,500"
Toyota,Black,74833.0,5.0,"$16,800"
Honda,Red,167819.0,4.0,"$4,200"
Toyota,Red,76150.0,3.0,"$9,300"
Toyota,Red,28088.0,4.0,"$10,400"
Nissan,Blue,,4.0,"$7,400"
Toyota,,96196.0,4.0,"$11,000"
BMW,Blue,130121.0,4.0,"$15,600"
Honda,,139247.0,5.0,"$7,400"
Honda,Silver,89625.0,4.0,"$11,700"
Nissan,Red,49127.0,4.0,"$10,600"
Nissan,Black,121321.0,4.0,"$7,900"
Honda,Black,105880.0,4.0,"$16,400"
Nissan,Black,76286.0,4.0,"$7,300"
Toyota,Blue,65596.0,4.0,"$9,900"
Nissan,Blue,76306.0,4.0,"$11,600"
Honda,Black,160184.0,4.0,"$4,800"
BMW,Grey,30041.0,5.0,"$30,600"
Toyota,Blue,69284.0,4.0,"$13,500"
Nissan,White,123363.0,5.0,"$3,100"
Toyota,Blue,178470.0,5.0,"$12,800"
Honda,Black,62586.0,5.0,"$10,600"
Toyota,Red,112865.0,5.0,"$11,100"
Toyota,Blue,132244.0,4.0,"$15,000"
Toyota,Black,88798.0,5.0,"$9,000"
Honda,Blue,25792.0,4.0,"$10,300"
Toyota,White,96277.0,5.0,"$16,700"
Nissan,Silver,83013.0,4.0,"$8,800"
Toyota,Green,97146.0,3.0,"$12,400"
Toyota,Green,229400.0,4.0,"$2,500"
Toyota,Black,72549.0,4.0,"$14,900"
Nissan,Blue,150185.0,4.0,"$9,800"
,Blue,89524.0,5.0,"$22,400"
Toyota,White,128714.0,5.0,"$13,000"
BMW,Blue,99460.0,4.0,"$26,900"
Nissan,Black,171733.0,4.0,"$7,300"
Toyota,Red,169872.0,3.0,"$7,800"
Toyota,Green,89309.0,3.0,"$9,500"
Nissan,White,179564.0,4.0,"$2,500"
Honda,Silver,109696.0,5.0,"$8,200"
Nissan,Blue,113609.0,5.0,"$10,700"
Toyota,Black,107937.0,5.0,"$10,800"
Nissan,Silver,35848.0,4.0,"$12,400"
Toyota,Black,131565.0,5.0,"$16,400"
Nissan,White,94764.0,5.0,"$8,900"
Honda,Blue,103970.0,4.0,"$13,600"
Toyota,Green,93044.0,,"$10,600"
Honda,Silver,121179.0,4.0,"$8,700"
Nissan,Blue,86999.0,5.0,"$9,200"
,White,143534.0,4.0,"$4,000"
Honda,White,98382.0,4.0,"$7,100"
Toyota,Blue,160142.0,4.0,"$2,500"
Toyota,Green,68936.0,4.0,"$12,100"
Nissan,,199669.0,4.0,"$2,600"
Honda,Silver,65350.0,4.0,"$16,400"
Honda,Red,22495.0,5.0,"$6,700"
Toyota,Red,120880.0,3.0,"$6,500"
Nissan,Silver,54810.0,4.0,"$11,400"
Toyota,Red,110677.0,4.0,"$7,600"
Toyota,White,31424.0,4.0,"$16,100"
BMW,Grey,,4.0,"$23,300"
Toyota,White,194025.0,4.0,"$2,500"
Toyota,Red,18672.0,4.0,"$11,600"
Nissan,Blue,109447.0,5.0,"$8,200"
BMW,Silver,54868.0,4.0,
Toyota,Black,32919.0,3.0,"$17,200"
Honda,Silver,88056.0,4.0,"$13,100"
Toyota,Blue,115821.0,5.0,"$11,500"
Nissan,White,143906.0,4.0,"$6,500"
Nissan,Silver,147992.0,4.0,"$8,700"
Toyota,Blue,108219.0,5.0,"$12,600"
Toyota,Blue,93333.0,4.0,"$15,000"
Honda,White,59533.0,4.0,"$16,400"
BMW,Blue,63313.0,4.0,"$16,000"
BMW,Blue,70380.0,3.0,"$19,600"
Honda,White,132350.0,4.0,"$5,600"
Honda,Blue,70583.0,5.0,"$5,500"
Honda,White,70289.0,4.0,"$3,200"
Toyota,White,15637.0,5.0,"$17,200"
Toyota,Green,138861.0,4.0,"$8,900"
Nissan,White,57849.0,4.0,"$9,300"
Nissan,Black,111798.0,5.0,"$4,700"
Honda,Silver,164163.0,4.0,"$8,800"
Nissan,Red,99626.0,,"$7,300"
Honda,White,102002.0,4.0,"$2,900"
Nissan,Blue,98158.0,4.0,"$5,700"
Honda,White,43922.0,5.0,"$11,600"
Honda,Red,178288.0,4.0,"$7,200"
Toyota,Green,68298.0,4.0,"$12,700"
,Green,170766.0,4.0,"$9,000"
Nissan,Blue,115339.0,4.0,"$4,900"
Toyota,Black,134307.0,4.0,"$9,900"
BMW,Black,102598.0,5.0,"$28,500"
Nissan,Blue,170774.0,4.0,"$2,600"
Honda,Blue,155234.0,4.0,
Toyota,Black,205913.0,4.0,"$3,100"
Nissan,Blue,209213.0,5.0,"$3,400"
Toyota,Blue,64126.0,5.0,"$10,900"
BMW,Blue,51545.0,5.0,"$29,300"
Honda,Blue,117096.0,5.0,"$7,200"
Honda,Blue,90830.0,5.0,"$16,600"
Honda,Blue,174922.0,5.0,"$7,500"
Honda,White,93824.0,4.0,"$9,800"
Honda,Black,121448.0,4.0,"$5,200"
BMW,White,54190.0,5.0,"$15,600"
Honda,Red,111162.0,4.0,"$10,400"
Honda,Blue,68807.0,4.0,"$15,200"
Honda,White,,4.0,"$7,800"
Nissan,Blue,124569.0,4.0,"$8,900"
Nissan,White,206299.0,,"$2,500"
Nissan,Black,172406.0,5.0,"$4,800"
Nissan,Black,102332.0,4.0,"$9,800"
Toyota,Green,131920.0,4.0,"$2,900"
Toyota,White,174780.0,5.0,"$11,700"
Honda,White,61972.0,4.0,"$12,100"
Honda,Black,115713.0,4.0,"$9,300"
Toyota,Red,69384.0,5.0,"$9,900"
Nissan,Black,110568.0,4.0,"$10,200"
Nissan,White,142441.0,4.0,"$4,400"
Honda,White,129041.0,4.0,"$2,500"
Honda,Silver,147140.0,4.0,"$2,500"
Honda,Blue,74602.0,4.0,"$6,900"
Nissan,Red,39497.0,4.0,"$13,100"
Nissan,Black,85808.0,4.0,"$9,200"
Nissan,Silver,109372.0,4.0,"$8,200"
Honda,White,95687.0,4.0,"$5,500"
Toyota,Black,149805.0,4.0,"$6,400"
Honda,Blue,17284.0,4.0,"$11,700"
Toyota,White,176039.0,3.0,"$8,300"
,Grey,50356.0,3.0,"$22,700"
Nissan,White,93988.0,4.0,"$13,100"
Nissan,Blue,133388.0,5.0,"$7,600"
Nissan,Silver,169695.0,4.0,"$4,800"
Honda,Silver,79565.0,4.0,"$9,500"
Honda,Red,88563.0,5.0,"$10,100"
Toyota,Black,135836.0,3.0,"$7,900"
Toyota,White,,5.0,"$8,800"
Toyota,Black,102089.0,4.0,"$3,800"
Toyota,Green,145649.0,4.0,"$8,400"
Honda,Silver,139904.0,4.0,"$2,500"
Toyota,Blue,206595.0,3.0,"$3,700"
Honda,Red,145192.0,5.0,"$4,400"
Toyota,Red,129864.0,3.0,"$4,300"
Honda,Red,62059.0,4.0,"$16,500"
Honda,Silver,82847.0,4.0,"$10,600"
Honda,White,133763.0,5.0,"$9,700"
BMW,Silver,71317.0,3.0,"$26,500"
Toyota,Red,222977.0,4.0,"$4,000"
Nissan,Silver,123261.0,5.0,"$9,800"
BMW,Black,111432.0,5.0,"$31,700"
Toyota,Green,131213.0,5.0,"$5,000"
BMW,Blue,133604.0,5.0,"$15,200"
Toyota,Red,113737.0,4.0,"$6,900"
Toyota,Black,94664.0,4.0,"$11,600"
Honda,Silver,107425.0,4.0,"$10,100"
,Blue,169458.0,4.0,"$7,100"
Honda,Black,80280.0,5.0,"$13,800"
Honda,Blue,149094.0,5.0,"$3,800"
Nissan,Blue,145454.0,4.0,"$7,000"
Nissan,Red,95336.0,4.0,"$11,000"
Toyota,White,90197.0,3.0,
Toyota,Black,89000.0,4.0,"$10,900"
Toyota,Blue,40993.0,4.0,"$8,200"
Honda,White,168536.0,4.0,"$3,300"
Honda,Blue,44413.0,4.0,"$5,200"
Nissan,Black,76218.0,5.0,"$6,000"
Nissan,Blue,203952.0,5.0,"$5,800"
Nissan,Silver,73463.0,4.0,"$14,600"
Toyota,White,149051.0,4.0,"$6,800"
Nissan,White,3000.0,4.0,"$17,900"
Toyota,Green,25742.0,4.0,"$7,600"
Toyota,Blue,151173.0,5.0,"$16,200"
Nissan,Black,189519.0,4.0,"$4,900"
